"Lab","SampleNumber","DateExamined","BoxTempNoOnReceipt","Retailer","OtherPremisesDetails","PostCode","Country","UseByDate","RemainingShelflifeDays","ProcessorApprovalNumber","SampleDetails","TemperatureAtCollection","SampleReceipt","ProductWeightGrams","CostOfChicken","TypeOfChicken","TypeOfChickenExtraDetails","TypeOfChickenExtraDetails2","PackagingAtmosphere","RoastInBag","LiquidInPack","NeckSkinWeightGrams","Test","Result","Units","SpeciesDetected"
"BI","BI1515871-05","2015-07-13","6.3","Asda","","B76 1XL","England","2015-07-18","5","3007","The Butchers selection at Asda, medium chicken ","5.3","Satisfactory","1520","3.58","Standard","None Stated","","NOT Modified Atmosphere","Not Roast in bag","Yes","9","Campylobacter spp -  enumeration per Swab","10","CFU Swab","C. jejuni"
"BI","BI1516522-01","2015-07-20","6.5","Butchers","AK Holder Ltd, 392 Birmingham Road","B72 1YJ","England","2015-07-23","3","2023","Grain Fed Chicken (T. Soanes & Sons)","5.4","Satisfactory","1530","5.2","Standard","Other","Grain fed","NOT Modified Atmosphere","Not Roast in bag","No","25","Campylobacter spp  - enumeration cfu/g","540","CFU/g","C. jejuni"
"BI","BI1516522-01","2015-07-20","6.5","Butchers","AK Holder Ltd, 392 Birmingham Road","B72 1YJ","England","2015-07-23","3","2023","Grain Fed Chicken (T. Soanes & Sons)","5.4","Satisfactory","1530","5.2","Standard","Other","Grain fed","NOT Modified Atmosphere","Not Roast in bag","No","25","Campylobacter spp -  enumeration per Swab","<10","CFU Swab",""
"BI","BI1516522-02","2015-07-20","6.5","M&S","","B72 1PD","England","2015-07-23","3","5011","Simply M&S, British Oakham chicken medium. ","5.3","Satisfactory","1500","5","Standard","None Stated","","NOT Modified Atmosphere","Not Roast in bag","No","25","Campylobacter spp  - enumeration cfu/g","560","CFU/g","C. jejuni"
"BI","BI1516522-02","2015-07-20","6.5","M&S","","B72 1PD","England","2015-07-23","3","5011","Simply M&S, British Oakham chicken medium. ","5.3","Satisfactory","1500","5","Standard","None Stated","","NOT Modified Atmosphere","Not Roast in bag","No","25","Campylobacter spp -  enumeration per Swab","<10","CFU Swab",""
"BI","BI1516522-03","2015-07-20","6.5","Waitrose","","B72 1PL","England","2015-07-23","3","9502","Essential Waitrose British chicken.","1.8","Satisfactory","1300","4.97","Standard","None Stated","","Modified Atmosphere","Not Roast in bag","Yes","0","Campylobacter spp  - enumeration cfu/g","<10","CFU/g",""
"BI","BI1516522-03","2015-07-20","6.5","Waitrose","","B72 1PL","England","2015-07-23","3","9502","Essential Waitrose British chicken.","1.8","Satisfactory","1300","4.97","Standard","None Stated","","Modified Atmosphere","Not Roast in bag","Yes","0","Campylobacter spp -  enumeration per Swab","<10","CFU Swab",""
"BI","BI1516522-04","2015-07-20","6.5","Waitrose","","B72 1PL","England","2015-07-23","3","9502","Waitrose Succulent Free Range chicken. ","2.4","Satisfactory","1464","8.77","Free range","None Stated","","Modified Atmosphere","Not Roast in bag","Yes","0","Campylobacter spp  - enumeration cfu/g","<10","CFU/g",""
"BI","BI1516522-04","2015-07-20","6.5","Waitrose","","B72 1PL","England","2015-07-23","3","9502","Waitrose Succulent Free Range chicken. ","2.4","Satisfactory","1464","8.77","Free range","None Stated","","Modified Atmosphere","Not Roast in bag","Yes","0","Campylobacter spp -  enumeration per Swab","<10","CFU Swab",""
"BI","BI1516522-05","2015-07-20","6.5","LIDL","","B73 5AB","England","2015-07-24","4","3005","British chicken medium, Birchwood. ","0.1","Satisfactory","1520","3.31","Standard","None Stated","","NOT Modified Atmosphere","Not Roast in bag","Yes","25","Campylobacter spp  - enumeration cfu/g","<10","CFU/g",""
"BI","BI1516522-05","2015-07-20","6.5","LIDL","","B73 5AB","England","2015-07-24","4","3005","British chicken medium, Birchwood. ","0.1","Satisfactory","1520","3.31","Standard","None Stated","","NOT Modified Atmosphere","Not Roast in bag","Yes","25","Campylobacter spp -  enumeration per Swab","<10","CFU Swab",""
"BI","BI1516522-06","2015-07-20","6.5","LIDL","","B73 5AB","England","2015-07-25","5","9502","British Free Range chicken, Birchwood. ","0.1","Satisfactory","1482","4.94","Free range","None Stated","","NOT Modified Atmosphere","Not Roast in bag","Yes","25","Campylobacter spp  - enumeration cfu/g","<10","CFU/g",""
"BI","BI1516522-06","2015-07-20","6.5","LIDL","","B73 5AB","England","2015-07-25","5","9502","British Free Range chicken, Birchwood. ","0.1","Satisfactory","1482","4.94","Free range","None Stated","","NOT Modified Atmosphere","Not Roast in bag","Yes","25","Campylobacter spp -  enumeration per Swab","<10","CFU Swab",""
"BI","BI1516525-01","2015-07-20","6.5","Butchers","Boldmere Butchers, 70 Boldmere Road, Sutton Coldfield","B73 5TJ","England","2015-07-26","6","5007","Oven ready, long-leg grade A fresh chicken ","5.1","Satisfactory","2100","7","Standard","Halal","","NOT Modified Atmosphere","Not Roast in bag","No","25","Campylobacter spp  - enumeration cfu/g","215000","CFU/g","C. jejuni"
"BI","BI1516525-01","2015-07-20","6.5","Butchers","Boldmere Butchers, 70 Boldmere Road, Sutton Coldfield","B73 5TJ","England","2015-07-26","6","5007","Oven ready, long-leg grade A fresh chicken ","5.1","Satisfactory","2100","7","Standard","Halal","","NOT Modified Atmosphere","Not Roast in bag","No","25","Campylobacter spp -  enumeration per Swab","10","CFU Swab","C. coli"
"BI","BI1516525-02","2015-07-20","6.5","Tesco","","B73 5UB","England","2015-07-26","6","3011","Tesco British medium whole chicken","2.1","Satisfactory","1351","4","Standard","None Stated","","NOT Modified Atmosphere","Not Roast in bag","Yes","5","Campylobacter spp  - enumeration cfu/g","200","CFU/g","C. jejuni"
"BI","BI1516525-02","2015-07-20","6.5","Tesco","","B73 5UB","England","2015-07-26","6","3011","Tesco British medium whole chicken","2.1","Satisfactory","1351","4","Standard","None Stated","","NOT Modified Atmosphere","Not Roast in bag","Yes","5","Campylobacter spp -  enumeration per Swab","<10","CFU Swab",""
"BI","BI1516525-03","2015-07-20","6.5","Co-op","","B72 1AX","England","2015-07-25","5","2037","The Co-op Farming Group - British chicken ","3","Satisfactory","2078","6","Standard","None Stated","","NOT Modified Atmosphere","Roast in bag","No","13","Campylobacter spp  - enumeration cfu/g","10","CFU/g","C. jejuni"
"BI","BI1516525-03","2015-07-20","6.5","Co-op","","B72 1AX","England","2015-07-25","5","2037","The Co-op Farming Group - British chicken ","3","Satisfactory","2078","6","Standard","None Stated","","NOT Modified Atmosphere","Roast in bag","No","13","Campylobacter spp -  enumeration per Swab","<10","CFU Swab",""
"BI","BI1516525-04","2015-07-20","6.5","Co-op","","B76 1NQ","England","2015-07-26","6","2037","The Co-op Farming Group - British chicken ","2.4","Satisfactory","1430","5","Standard","None Stated","","NOT Modified Atmosphere","Roast in bag","Yes","25","Campylobacter spp  - enumeration cfu/g","60","CFU/g","Mixed C. jejuni and C. coli"
"BI","BI1516525-04","2015-07-20","6.5","Co-op","","B76 1NQ","England","2015-07-26","6","2037","The Co-op Farming Group - British chicken ","2.4","Satisfactory","1430","5","Standard","None Stated","","NOT Modified Atmosphere","Roast in bag","Yes","25","Campylobacter spp -  enumeration per Swab","<10","CFU Swab",""
"BI","BI1516525-05","2015-07-20","6.5","M&S","","B72 1PD","England","2015-07-24","4","1100","Simply M&S Scottish Oakham chicken ","5.4","Satisfactory","1800","6","Standard","None Stated","","NOT Modified Atmosphere","Not Roast in bag","No","25","Campylobacter spp  - enumeration cfu/g","9000","CFU/g","C. jejuni"
"BI","BI1516525-05","2015-07-20","6.5","M&S","","B72 1PD","England","2015-07-24","4","1100","Simply M&S Scottish Oakham chicken ","5.4","Satisfactory","1800","6","Standard","None Stated","","NOT Modified Atmosphere","Not Roast in bag","No","25","Campylobacter spp -  enumeration per Swab","<10","CFU Swab",""
"BI","BI1517107-01","2015-07-27","6.5","Waitrose","","BA5 2PJ","England","2015-07-30","3","9502","Large British chicken without giblets ","5.7","Satisfactory","1926","6.26","Standard","None Stated","","Modified Atmosphere","Not Roast in bag","Yes","9","Campylobacter spp  - enumeration cfu/g","70","CFU/g","C. jejuni"
"BI","BI1517107-01","2015-07-27","6.5","Waitrose","","BA5 2PJ","England","2015-07-30","3","9502","Large British chicken without giblets ","5.7","Satisfactory","1926","6.26","Standard","None Stated","","Modified Atmosphere","Not Roast in bag","Yes","9","Campylobacter spp -  enumeration per Swab","<10","CFU Swab",""
"BI","BI1517107-02","2015-07-27","6.5","Waitrose","","BA5 2PJ","England","2015-07-30","3","9502","Essential Waitrose British chicken ","4.9","Satisfactory","1200","4.39","Standard","None Stated","","NOT Modified Atmosphere","Not Roast in bag","Yes","18","Campylobacter spp  - enumeration cfu/g","<10","CFU/g",""
"BI","BI1517107-02","2015-07-27","6.5","Waitrose","","BA5 2PJ","England","2015-07-30","3","9502","Essential Waitrose British chicken ","4.9","Satisfactory","1200","4.39","Standard","None Stated","","NOT Modified Atmosphere","Not Roast in bag","Yes","18","Campylobacter spp -  enumeration per Swab","<10","CFU Swab",""
"BI","BI1517107-03","2015-07-27","6.5","Waitrose","","BA5 2PJ","England","2015-07-30","3","9502","Medium British chicken without giblets ","4.2","Satisfactory","1768","5.8","Standard","None Stated","","Modified Atmosphere","Not Roast in bag","Yes","6","Campylobacter spp  - enumeration cfu/g","<10","CFU/g",""
"BI","BI1517107-03","2015-07-27","6.5","Waitrose","","BA5 2PJ","England","2015-07-30","3","9502","Medium British chicken without giblets ","4.2","Satisfactory","1768","5.8","Standard","None Stated","","Modified Atmosphere","Not Roast in bag","Yes","6","Campylobacter spp -  enumeration per Swab","<10","CFU Swab",""
"BI","BI1517107-04","2015-07-27","6.5","Other"," Budgens (Tout's), Roynon Way, Somerset","BS27 3RB","England","2015-07-29","2","8013","Free Range chicken","-0.6","Satisfactory","1548","10.2","Free range","None Stated","","NOT Modified Atmosphere","Not Roast in bag","No","25","Campylobacter spp  - enumeration cfu/g","2550","CFU/g","C. jejuni"
"BI","BI1517107-04","2015-07-27","6.5","Other"," Budgens (Tout's), Roynon Way, Somerset","BS27 3RB","England","2015-07-29","2","8013","Free Range chicken","-0.6","Satisfactory","1548","10.2","Free range","None Stated","","NOT Modified Atmosphere","Not Roast in bag","No","25","Campylobacter spp -  enumeration per Swab","<10","CFU Swab",""
"BI","BI1517107-05","2015-07-27","6.5","Other"," Budgens (Tout's), Roynon Way, Somerset","BS27 3RB","England","2015-08-01","5","8005","British whole chicken","4.9","Satisfactory","1580","5.29","Standard","None Stated","","NOT Modified Atmosphere","Not Roast in bag","Yes","25","Campylobacter spp  - enumeration cfu/g","<10","CFU/g",""
"BI","BI1517107-05","2015-07-27","6.5","Other"," Budgens (Tout's), Roynon Way, Somerset","BS27 3RB","England","2015-08-01","5","8005","British whole chicken","4.9","Satisfactory","1580","5.29","Standard","None Stated","","NOT Modified Atmosphere","Not Roast in bag","Yes","25","Campylobacter spp -  enumeration per Swab","<10","CFU Swab",""
"BI","BI1517108-01","2015-07-27","6.5","Morrisons","","BA5 1SQ","England","2015-08-01","5","4014","British extra large chicken ","2.4","Satisfactory","2008","5.02","Standard","None Stated","","NOT Modified Atmosphere","Not Roast in bag","No","25","Campylobacter spp  - enumeration cfu/g","1760","CFU/g","C. jejuni"
"BI","BI1517108-01","2015-07-27","6.5","Morrisons","","BA5 1SQ","England","2015-08-01","5","4014","British extra large chicken ","2.4","Satisfactory","2008","5.02","Standard","None Stated","","NOT Modified Atmosphere","Not Roast in bag","No","25","Campylobacter spp -  enumeration per Swab","<10","CFU Swab",""
"BI","BI1517108-02","2015-07-27","6.5","Morrisons","","BA5 1SQ","England","2015-07-31","4","4014","British medium chicken ","4.6","Satisfactory","1639","4.1","Standard","None Stated","","NOT Modified Atmosphere","Not Roast in bag","No","25","Campylobacter spp  - enumeration cfu/g","1550","CFU/g","C. coli"
"BI","BI1517108-02","2015-07-27","6.5","Morrisons","","BA5 1SQ","England","2015-07-31","4","4014","British medium chicken ","4.6","Satisfactory","1639","4.1","Standard","None Stated","","NOT Modified Atmosphere","Not Roast in bag","No","25","Campylobacter spp -  enumeration per Swab","<10","CFU Swab",""
"BI","BI1517108-03","2015-07-27","6.5","Morrisons","","BA5 1SQ","England","2015-07-31","4","4014","Free Range British chicken ","6.4","Satisfactory","1565","7.83","Free range","None Stated","","NOT Modified Atmosphere","Not Roast in bag","No","17","Campylobacter spp  - enumeration cfu/g","580","CFU/g","C. coli"
"BI","BI1517108-03","2015-07-27","6.5","Morrisons","","BA5 1SQ","England","2015-07-31","4","4014","Free Range British chicken ","6.4","Satisfactory","1565","7.83","Free range","None Stated","","NOT Modified Atmosphere","Not Roast in bag","No","17","Campylobacter spp -  enumeration per Swab","10","CFU Swab","C. jejuni"
"BI","BI1517108-04","2015-07-27","6.5","Lidl","","BA16 0HW","England","2015-08-02","6","8005","British chicken medium ","0","Satisfactory","1118","2.44","Standard","None Stated","","NOT Modified Atmosphere","Not Roast in bag","No","10","Campylobacter spp  - enumeration cfu/g","205000","CFU/g","C. jejuni"
"BI","BI1517108-04","2015-07-27","6.5","Lidl","","BA16 0HW","England","2015-08-02","6","8005","British chicken medium ","0","Satisfactory","1118","2.44","Standard","None Stated","","NOT Modified Atmosphere","Not Roast in bag","No","10","Campylobacter spp -  enumeration per Swab","<10","CFU Swab",""
"BI","BI1517108-05","2015-07-27","6.5","Sainsbury's","","BA16 0HS","England","2015-08-01","5","8005","British Free Range whole chicken ","3.7","Satisfactory","1076","6.03","Free range","None Stated","","Not Stated","Not Roast in bag","No","19","Campylobacter spp  - enumeration cfu/g","<10","CFU/g",""
"BI","BI1517108-05","2015-07-27","6.5","Sainsbury's","","BA16 0HS","England","2015-08-01","5","8005","British Free Range whole chicken ","3.7","Satisfactory","1076","6.03","Free range","None Stated","","Not Stated","Not Roast in bag","No","19","Campylobacter spp -  enumeration per Swab","<10","CFU Swab",""
"BI","BI1517108-06","2015-07-27","6.5","Sainsbury's","","BA16 0HS","England","2015-08-02","6","8005","British whole small chicken ","3.9","Satisfactory","1350","3.5","Standard","None Stated","","NOT Modified Atmosphere","Not Roast in bag","No","25","Campylobacter spp  - enumeration cfu/g","4550","CFU/g","C. jejuni"
"BI","BI1517108-06","2015-07-27","6.5","Sainsbury's","","BA16 0HS","England","2015-08-02","6","8005","British whole small chicken ","3.9","Satisfactory","1350","3.5","Standard","None Stated","","NOT Modified Atmosphere","Not Roast in bag","No","25","Campylobacter spp -  enumeration per Swab","<10","CFU Swab",""
"NI","CE001","2015-07-22","7","Waitrose","","BS48 1AP","England","2015-07-24","2","9502","Succulent Free Range Chicken (Without Giblets)","4.2","Satisfactory","1381","8.27","Free Range","None Stated","","Modified Atmosphere","Not Roast in bag","Yes","0","Campylobacter spp  - enumeration cfu/g","<10","CFU/g",""
"NI","CE001","2015-07-22","7","Waitrose","","BS48 1AP","England","2015-07-24","2","9502","Succulent Free Range Chicken (Without Giblets)","4.2","Satisfactory","1381","8.27","Free Range","None Stated","","Modified Atmosphere","Not Roast in bag","Yes","0","Campylobacter spp -  enumeration per Swab","<10","CFU Swab",""
"NI","CE002","2015-07-22","7","Tesco","","BS27 3AG","England","2015-07-27","5","3011","British Medium Whole Chicken","6.1","Satisfactory","1524","4","Standard","None Stated","","NOT Modified Atmosphere","Not Roast in bag","No","7","Campylobacter spp  - enumeration cfu/g","30","CFU/g","C. jejuni"
"NI","CE002","2015-07-22","7","Tesco","","BS27 3AG","England","2015-07-27","5","3011","British Medium Whole Chicken","6.1","Satisfactory","1524","4","Standard","None Stated","","NOT Modified Atmosphere","Not Roast in bag","No","7","Campylobacter spp -  enumeration per Swab","<10","CFU Swab",""
"NI","CE003","2015-07-22","7","Co-Op","","BS25 1AB","England","2015-07-26","4","5011","British Chicken","6.2","Satisfactory","1504","5","Standard","None Stated","","NOT Modified Atmosphere","Roast in bag","No","13","Campylobacter spp  - enumeration cfu/g","1540","CFU/g","C. jejuni"
"NI","CE003","2015-07-22","7","Co-Op","","BS25 1AB","England","2015-07-26","4","5011","British Chicken","6.2","Satisfactory","1504","5","Standard","None Stated","","NOT Modified Atmosphere","Roast in bag","No","13","Campylobacter spp -  enumeration per Swab","<10","CFU Swab",""
"NI","CE004","2015-07-22","7","Waitrose","","BS48 1AP","England","2015-07-23","1","9502","British Chicken","4.6","Satisfactory","1200","4.3","Standard","None Stated","","NOT Modified Atmosphere","Not Roast in bag","Yes","0","Campylobacter spp  - enumeration cfu/g","<10","CFU/g",""
"NI","CE004","2015-07-22","7","Waitrose","","BS48 1AP","England","2015-07-23","1","9502","British Chicken","4.6","Satisfactory","1200","4.3","Standard","None Stated","","NOT Modified Atmosphere","Not Roast in bag","Yes","0","Campylobacter spp -  enumeration per Swab","<10","CFU Swab",""
"NI","CE005","2015-07-22","7","Sainsbury's","","BS32 2NS","England","2015-07-26","4","8005","British Small Whole Chicken","3.7","Satisfactory","1350","3.7","Standard","None Stated","","NOT Modified Atmosphere","Not Roast in bag","No","6","Campylobacter spp  - enumeration cfu/g","300","CFU/g","Campylobacter spp."
"NI","CE005","2015-07-22","7","Sainsbury's","","BS32 2NS","England","2015-07-26","4","8005","British Small Whole Chicken","3.7","Satisfactory","1350","3.7","Standard","None Stated","","NOT Modified Atmosphere","Not Roast in bag","No","6","Campylobacter spp -  enumeration per Swab","<10","CFU Swab",""
"NI","CE007","2015-07-22","7","Lidl","","BS3 4EG","England","2015-07-25","3","5011","British Medium Whole Chicken","6.2","Satisfactory","1370","2.99","Standard","None Stated","","NOT Modified Atmosphere","Not Roast in bag","Yes","14","Campylobacter spp  - enumeration cfu/g","350","CFU/g","Campylobacter spp."
"NI","CE007","2015-07-22","7","Lidl","","BS3 4EG","England","2015-07-25","3","5011","British Medium Whole Chicken","6.2","Satisfactory","1370","2.99","Standard","None Stated","","NOT Modified Atmosphere","Not Roast in bag","Yes","14","Campylobacter spp -  enumeration per Swab","10","CFU Swab","C. coli"
"NI","CE008","2015-07-22","7","Lidl","","BS3 4EG","England","2015-07-27","5","5011","British Free Range Chicken","5.4","Satisfactory","1462","4.87","Free Range","None Stated","","NOT Modified Atmosphere","Not Roast in bag","No","9","Campylobacter spp  - enumeration cfu/g","<10","CFU/g",""
"NI","CE008","2015-07-22","7","Lidl","","BS3 4EG","England","2015-07-27","5","5011","British Free Range Chicken","5.4","Satisfactory","1462","4.87","Free Range","None Stated","","NOT Modified Atmosphere","Not Roast in bag","No","9","Campylobacter spp -  enumeration per Swab","<10","CFU Swab",""
"NI","CE009","2015-07-22","7","Morrisons","","BS10 7SR","England","2015-07-24","2","4014","British Free Range Chicken","4.2","Satisfactory","1434","7.17","Free Range","None Stated","","NOT Modified Atmosphere","Not Roast in bag","No","25","Campylobacter spp  - enumeration cfu/g","360","CFU/g","C. coli"
"NI","CE009","2015-07-22","7","Morrisons","","BS10 7SR","England","2015-07-24","2","4014","British Free Range Chicken","4.2","Satisfactory","1434","7.17","Free Range","None Stated","","NOT Modified Atmosphere","Not Roast in bag","No","25","Campylobacter spp -  enumeration per Swab","<10","CFU Swab",""
"NI","CE010","2015-07-22","7","Morrisons","","BS10 7SR","England","2015-07-26","4","4014","British Whole Chicken","5.2","Satisfactory","1400","4","Standard","None Stated","","NOT Modified Atmosphere","Not Roast in bag","No","25","Campylobacter spp  - enumeration cfu/g","133000","CFU/g","Mixed C. jejuni and C. coli"
