"Lab","SampleNumber","DateExamined","BoxTempNoOnReceipt","Retailer","OtherPremisesDetails","PostCode","Country","UseByDate","RemainingShelflifeDays","ProcessorApprovalNumber","SampleDetails","TemperatureAtCollection","SampleReceipt","ProductWeightGrams","CostOfChicken","TypeOfChicken","TypeOfChickenExtraDetails","TypeOfChickenExtraDetails2","PackagingAtmosphere","RoastInBag","LiquidInPack","NeckSkinWeightGrams","Test","Result","Units","SpeciesDetected"
"LO","LO1518925-03","2015-08-10","6.4","Asda","","TA1 2AN","England","2015-08-13","3","8005","British Chicken Medium","4.2","Satisfactory","1546","3.58","Standard","None Stated","","NOT Modified Atmosphere","Other","Yes","25","Campylobacter spp  - enumeration cfu/g","880","CFU/g","C. coli"
"LO","LO1518925-04","2015-08-10","6.4","Asda","","TA1 2AN","England","2015-08-14","4","5450","Free Range Corn-Fed Chicken","4.2","Satisfactory","1860","8.37","Free range","Corn Fed","","NOT Modified Atmosphere","Other","No","25","Campylobacter spp -  enumeration per Swab","<10","CFU Swab",""
"LO","LO1518925-04","2015-08-10","6.4","Asda","","TA1 2AN","England","2015-08-14","4","5450","Free Range Corn-Fed Chicken","4.2","Satisfactory","1860","8.37","Free range","Corn Fed","","NOT Modified Atmosphere","Other","No","25","Campylobacter spp  - enumeration cfu/g","2620","CFU/g","C. jejuni"
"LO","LO1518925-05","2015-08-10","6.4","Asda","","TA1 2AN","England","2015-08-12","2","8005","Butcher's Selection British Chicken Medium","5.7","Satisfactory","1488","3.58","Standard","None Stated","","NOT Modified Atmosphere","Other","Yes","24","Campylobacter spp -  enumeration per Swab","<10","CFU Swab",""
"LO","LO1518925-05","2015-08-10","6.4","Asda","","TA1 2AN","England","2015-08-12","2","8005","Butcher's Selection British Chicken Medium","5.7","Satisfactory","1488","3.58","Standard","None Stated","","NOT Modified Atmosphere","Other","Yes","24","Campylobacter spp  - enumeration cfu/g","430","CFU/g","Campylobacter spp."
"LO","LO1518925-06","2015-08-10","6.4","Asda","","TA1 2AN","England","2015-08-13","3","3007","Butcher's Selection Extra Large Chicken ","4.7","Satisfactory","2048","5.12","Standard","None Stated","","NOT Modified Atmosphere","Other","Yes","25","Campylobacter spp -  enumeration per Swab","<10","CFU Swab",""
"LO","LO1518925-06","2015-08-10","6.4","Asda","","TA1 2AN","England","2015-08-13","3","3007","Butcher's Selection Extra Large Chicken ","4.7","Satisfactory","2048","5.12","Standard","None Stated","","NOT Modified Atmosphere","Other","Yes","25","Campylobacter spp  - enumeration cfu/g","<10","CFU/g",""
"LO","LO1518925-07","2015-08-10","6.4","Tesco","","TA1 4AB","England","2015-08-16","6","4014","British Chicken Fresh Class A","6.8","Satisfactory","1518","3.76","Standard","None Stated","","Not Stated","Other","Yes","25","Campylobacter spp -  enumeration per Swab","<10","CFU Swab",""
"LO","LO1518925-07","2015-08-10","6.4","Tesco","","TA1 4AB","England","2015-08-16","6","4014","British Chicken Fresh Class A","6.8","Satisfactory","1518","3.76","Standard","None Stated","","Not Stated","Other","Yes","25","Campylobacter spp  - enumeration cfu/g","290","CFU/g","Campylobacter spp."
"LO","LO1518925-08","2015-08-10","6.4","Tesco","","TA1 4AB","England","2015-08-14","4","3011","British Medium Whole Chicken","7.4","Satisfactory","1431","4","Standard","None Stated","","NOT Modified Atmosphere","Other","No","25","Campylobacter spp -  enumeration per Swab","<10","CFU Swab",""
"LO","LO1518925-08","2015-08-10","6.4","Tesco","","TA1 4AB","England","2015-08-14","4","3011","British Medium Whole Chicken","7.4","Satisfactory","1431","4","Standard","None Stated","","NOT Modified Atmosphere","Other","No","25","Campylobacter spp  - enumeration cfu/g","300","CFU/g","C. jejuni"
"LO","LO1518925-09","2015-08-10","6.4","Other","Rumwell Farm Shop, on A38 Wellington New Road","TA4 1EJ","England","2015-08-11","1","","Local Fresh Free Range Whole Chicken","4","Satisfactory","2174","13.37","Free range","None Stated","","NOT Modified Atmosphere","Other","Yes","25","Campylobacter spp -  enumeration per Swab","<10","CFU Swab",""
"LO","LO1518925-09","2015-08-10","6.4","Other","Rumwell Farm Shop, on A38 Wellington New Road","TA4 1EJ","England","2015-08-11","1","","Local Fresh Free Range Whole Chicken","4","Satisfactory","2174","13.37","Free range","None Stated","","NOT Modified Atmosphere","Other","Yes","25","Campylobacter spp  - enumeration cfu/g","90","CFU/g","Campylobacter spp."
"LO","LO1518925-10","2015-08-10","6.4","Waitrose","","TA21 8RD","England","2015-08-13","3","9502","Esssential Waitrose British Chicken","5.5","Satisfactory","1200","4.39","Standard","None Stated","","NOT Modified Atmosphere","Other","Yes","0","Campylobacter spp -  enumeration per Swab","<10","CFU Swab",""
"LO","LO1518925-10","2015-08-10","6.4","Waitrose","","TA21 8RD","England","2015-08-13","3","9502","Esssential Waitrose British Chicken","5.5","Satisfactory","1200","4.39","Standard","None Stated","","NOT Modified Atmosphere","Other","Yes","0","Campylobacter spp  - enumeration cfu/g","<10","CFU/g",""
"LO","LO1518925-11","2015-08-10","6.4","Waitrose","","TA21 8RD","England","2015-08-12","2","9502","Free Range Chicken without Giblets","6.3","Satisfactory","1120","6.71","Free range","None Stated","","NOT Modified Atmosphere","Other","Yes","0","Campylobacter spp -  enumeration per Swab","10","CFU Swab","Campylobacter spp."
"LO","LO1518925-11","2015-08-10","6.4","Waitrose","","TA21 8RD","England","2015-08-12","2","9502","Free Range Chicken without Giblets","6.3","Satisfactory","1120","6.71","Free range","None Stated","","NOT Modified Atmosphere","Other","Yes","0","Campylobacter spp  - enumeration cfu/g","<10","CFU/g",""
"LO","LO1518925-12","2015-08-10","6.4","Waitrose","","TA21 8RD","England","2015-08-12","2","9502","Essential Waitrose British Chicken","7","Satisfactory","1764","5.79","Standard","None Stated","","Modified Atmosphere","Other","Yes","0","Campylobacter spp -  enumeration per Swab","<10","CFU Swab",""
"LO","LO1518925-12","2015-08-10","6.4","Waitrose","","TA21 8RD","England","2015-08-12","2","9502","Essential Waitrose British Chicken","7","Satisfactory","1764","5.79","Standard","None Stated","","Modified Atmosphere","Other","Yes","0","Campylobacter spp  - enumeration cfu/g","20","CFU/g","C. coli"
"LO","LO1518925-13","2015-08-10","6.4","Sainsbury's","","WD25 9GP","England","2015-08-16","6","8005","British Whole Chicken","5","Satisfactory","1350","3.5","Standard","None Stated","","NOT Modified Atmosphere","Other","Yes","23","Campylobacter spp -  enumeration per Swab","10","CFU Swab","C. coli"
"LO","LO1518925-13","2015-08-10","6.4","Sainsbury's","","WD25 9GP","England","2015-08-16","6","8005","British Whole Chicken","5","Satisfactory","1350","3.5","Standard","None Stated","","NOT Modified Atmosphere","Other","Yes","23","Campylobacter spp  - enumeration cfu/g","330","CFU/g","Campylobacter spp."
"LO","LO1518925-14","2015-08-10","6.4","Sainsbury's","","WD25 9GP","England","2015-08-16","6","8005","British Corn Fed Whole Chicken","2","Satisfactory","1512","6.65","Standard","Corn Fed","","NOT Modified Atmosphere","Other","No","24","Campylobacter spp -  enumeration per Swab","<10","CFU Swab",""
"LO","LO1518925-14","2015-08-10","6.4","Sainsbury's","","WD25 9GP","England","2015-08-16","6","8005","British Corn Fed Whole Chicken","2","Satisfactory","1512","6.65","Standard","Corn Fed","","NOT Modified Atmosphere","Other","No","24","Campylobacter spp  - enumeration cfu/g","90","CFU/g","C. coli"
"LO","LO1518957-01","2015-08-10","6.6","Other","Greens International Food Centre, 161-163 Station Road","HA8 7JS","England","2015-08-13","3","","Chicken","5.6","Satisfactory","890","2.29","Standard","Halal","","NOT Modified Atmosphere","Other","No","0","Campylobacter spp  - enumeration cfu/g","<10","CFU/g",""
"LO","LO1518957-01","2015-08-10","6.6","Other","Greens International Food Centre, 161-163 Station Road","HA8 7JS","England","2015-08-13","3","","Chicken","5.6","Satisfactory","890","2.29","Standard","Halal","","NOT Modified Atmosphere","Other","No","0","Campylobacter spp -  enumeration per Swab","<10","CFU Swab",""
"LO","LO1518957-02","2015-08-10","6.6","Co-op","","NW4 4EB","England","2015-08-13","3","5011","British Chicken","6.4","Satisfactory","1492","5","Standard","None Stated","","NOT Modified Atmosphere","Roast in bag","Yes","25","Campylobacter spp -  enumeration per Swab","<10","CFU Swab",""
"LO","LO1518957-02","2015-08-10","6.6","Co-op","","NW4 4EB","England","2015-08-13","3","5011","British Chicken","6.4","Satisfactory","1492","5","Standard","None Stated","","NOT Modified Atmosphere","Roast in bag","Yes","25","Campylobacter spp  - enumeration cfu/g","350","CFU/g","Campylobacter spp."
"LO","LO1518957-03","2015-08-10","6.6","Morrisons","","EN1 1TW","England","2015-08-15","5","2037","British Medium Chicken","3","Satisfactory","1350","3.5","Standard","Other","","NOT Modified Atmosphere","Other","Yes","25","Campylobacter spp -  enumeration per Swab","<10","CFU Swab",""
"LO","LO1518957-03","2015-08-10","6.6","Morrisons","","EN1 1TW","England","2015-08-15","5","2037","British Medium Chicken","3","Satisfactory","1350","3.5","Standard","Other","","NOT Modified Atmosphere","Other","Yes","25","Campylobacter spp  - enumeration cfu/g","<10","CFU/g",""
"LO","LO1518957-04","2015-08-10","6.6","M&S","","EN1 3RR","England","2015-08-16","6","5011","British Oakham Chicken","4.4","Satisfactory","1100","4","Standard","None Stated","","NOT Modified Atmosphere","Roast in bag","Yes","24","Campylobacter spp -  enumeration per Swab","<10","CFU Swab",""
"LO","LO1518957-04","2015-08-10","6.6","M&S","","EN1 3RR","England","2015-08-16","6","5011","British Oakham Chicken","4.4","Satisfactory","1100","4","Standard","None Stated","","NOT Modified Atmosphere","Roast in bag","Yes","24","Campylobacter spp  - enumeration cfu/g","570","CFU/g","C. jejuni"
"LO","LO1518957-05","2015-08-10","6.6","Sainsbury's","","EN1 3RR","England","2015-08-15","5","1100","Scottish Large Whole Chicken","4.2","Satisfactory","2000","5","Standard","None Stated","","NOT Modified Atmosphere","Other","Yes","25","Campylobacter spp -  enumeration per Swab","<10","CFU Swab",""
"LO","LO1518957-05","2015-08-10","6.6","Sainsbury's","","EN1 3RR","England","2015-08-15","5","1100","Scottish Large Whole Chicken","4.2","Satisfactory","2000","5","Standard","None Stated","","NOT Modified Atmosphere","Other","Yes","25","Campylobacter spp  - enumeration cfu/g","1048","CFU/g","C. jejuni"
"LO","LO1518957-06","2015-08-10","6.6","Sainsbury's","","EN1 3RR","England","2015-08-16","6","3011","British Small Whole Chicken","5.2","Satisfactory","1350","3.5","Standard","None Stated","","NOT Modified Atmosphere","Other","Yes","25","Campylobacter spp -  enumeration per Swab","<10","CFU Swab",""
"LO","LO1518957-06","2015-08-10","6.6","Sainsbury's","","EN1 3RR","England","2015-08-16","6","3011","British Small Whole Chicken","5.2","Satisfactory","1350","3.5","Standard","None Stated","","NOT Modified Atmosphere","Other","Yes","25","Campylobacter spp  - enumeration cfu/g","10","CFU/g","C. jejuni"
"LO","LO1518957-07","2015-08-10","6.6","Sainsbury's","","EN1 3RR","England","2015-08-17","7","3005","British Medium Whole Chicken","4.8","Satisfactory","1750","4.5","Standard","None Stated","","NOT Modified Atmosphere","Other","No","25","Campylobacter spp -  enumeration per Swab","<10","CFU Swab",""
"LO","LO1518957-07","2015-08-10","6.6","Sainsbury's","","EN1 3RR","England","2015-08-17","7","3005","British Medium Whole Chicken","4.8","Satisfactory","1750","4.5","Standard","None Stated","","NOT Modified Atmosphere","Other","No","25","Campylobacter spp  - enumeration cfu/g","176","CFU/g","Campylobacter spp."
"LO","LO1518957-08","2015-08-10","6.6","Sainsbury's","","EN1 3RR","England","2015-08-16","6","8005","Small Whole Chicken","4.5","Satisfactory","1350","3.5","Standard","None Stated","","NOT Modified Atmosphere","Other","Yes","19","Campylobacter spp -  enumeration per Swab","<10","CFU Swab",""
"LO","LO1518957-08","2015-08-10","6.6","Sainsbury's","","EN1 3RR","England","2015-08-16","6","8005","Small Whole Chicken","4.5","Satisfactory","1350","3.5","Standard","None Stated","","NOT Modified Atmosphere","Other","Yes","19","Campylobacter spp  - enumeration cfu/g","70","CFU/g","Campylobacter spp."
"LO","LO1518957-09","2015-08-10","6.6","Co-op","","EN1 1XH","England","2015-08-15","5","5011","British Chicken","4.6","Satisfactory","1530","5","Standard","None Stated","","NOT Modified Atmosphere","Roast in bag","No","11","Campylobacter spp -  enumeration per Swab","<10","CFU Swab",""
"LO","LO1518957-09","2015-08-10","6.6","Co-op","","EN1 1XH","England","2015-08-15","5","5011","British Chicken","4.6","Satisfactory","1530","5","Standard","None Stated","","NOT Modified Atmosphere","Roast in bag","No","11","Campylobacter spp  - enumeration cfu/g","<10","CFU/g",""
"LO","LO1518957-10","2015-08-10","6.6","Other","Budgens, 70 Lancaster Road","EN2 0BX","England","2015-08-13","3","8005","British Whole Chicken","4.6","Satisfactory","1524","5.29","Standard","None Stated","","NOT Modified Atmosphere","Other","Yes","25","Campylobacter spp -  enumeration per Swab","<10","CFU Swab",""
"LO","LO1518957-10","2015-08-10","6.6","Other","Budgens, 70 Lancaster Road","EN2 0BX","England","2015-08-13","3","8005","British Whole Chicken","4.6","Satisfactory","1524","5.29","Standard","None Stated","","NOT Modified Atmosphere","Other","Yes","25","Campylobacter spp  - enumeration cfu/g","150","CFU/g","C. jejuni"
"LO","LO1518957-11","2015-08-10","6.6","Co-op","","EN2 0JW","England","2015-08-14","4","5011","British Chicken Medium","4.6","Satisfactory","1606","5","Standard","None Stated","","NOT Modified Atmosphere","Roast in bag","Yes","25","Campylobacter spp -  enumeration per Swab","<10","CFU Swab",""
"LO","LO1518957-11","2015-08-10","6.6","Co-op","","EN2 0JW","England","2015-08-14","4","5011","British Chicken Medium","4.6","Satisfactory","1606","5","Standard","None Stated","","NOT Modified Atmosphere","Roast in bag","Yes","25","Campylobacter spp  - enumeration cfu/g","270","CFU/g","C. coli"
"LO","LO1518957-12","2015-08-10","6.6","Co-op","","EN2 0JW","England","2015-08-14","4","5011","British Chicken Large","4.5","Satisfactory","1856","6","Standard","None Stated","","NOT Modified Atmosphere","Roast in bag","No","25","Campylobacter spp -  enumeration per Swab","<10","CFU Swab",""
"LO","LO1518957-12","2015-08-10","6.6","Co-op","","EN2 0JW","England","2015-08-14","4","5011","British Chicken Large","4.5","Satisfactory","1856","6","Standard","None Stated","","NOT Modified Atmosphere","Roast in bag","No","25","Campylobacter spp  - enumeration cfu/g","560","CFU/g","C. jejuni"
"LO","LO1518957-13","2015-08-10","6.6","Asda","","EN3 4PQ","England","2015-08-15","5","3007","British Chicken","4.8","Satisfactory","1770","4.39","Standard","None Stated","","NOT Modified Atmosphere","Other","Yes","25","Campylobacter spp -  enumeration per Swab","<10","CFU Swab",""
"LO","LO1518957-13","2015-08-10","6.6","Asda","","EN3 4PQ","England","2015-08-15","5","3007","British Chicken","4.8","Satisfactory","1770","4.39","Standard","None Stated","","NOT Modified Atmosphere","Other","Yes","25","Campylobacter spp  - enumeration cfu/g","12200","CFU/g","C. jejuni"
"LO","LO1518957-14","2015-08-10","6.6","Asda","","EN3 4PQ","England","2015-08-13","3","3007","Butchers Selection Medium Chicken","5.2","Satisfactory","1680","3.58","Standard","None Stated","","NOT Modified Atmosphere","Other","Yes","25","Campylobacter spp -  enumeration per Swab","<10","CFU Swab",""
"LO","LO1518957-14","2015-08-10","6.6","Asda","","EN3 4PQ","England","2015-08-13","3","3007","Butchers Selection Medium Chicken","5.2","Satisfactory","1680","3.58","Standard","None Stated","","NOT Modified Atmosphere","Other","Yes","25","Campylobacter spp  - enumeration cfu/g","1830","CFU/g","C. jejuni"
"LO","LO1519540-01","2015-08-17","3.6","Asda","","MK12 5JQ","England","2015-08-22","5","3007","British Medium Chicken","2","Satisfactory","1542","3.58","Standard","None Stated","","NOT Modified Atmosphere","Other","Yes","24","Campylobacter spp  - enumeration cfu/g","56","CFU/g","Campylobacter spp."
"LO","LO1519540-01","2015-08-17","3.6","Asda","","MK12 5JQ","England","2015-08-22","5","3007","British Medium Chicken","2","Satisfactory","1542","3.58","Standard","None Stated","","NOT Modified Atmosphere","Other","Yes","24","Campylobacter spp -  enumeration per Swab","<10","CFU Swab",""
"LO","LO1519540-02","2015-08-17","3.6","Asda","","MK12 5JQ","England","2015-08-21","4","3007","British Chicken","2.1","Satisfactory","1226","3.04","Standard","None Stated","","NOT Modified Atmosphere","Other","Yes","25","Campylobacter spp -  enumeration per Swab","<10","CFU Swab",""
"LO","LO1519540-02","2015-08-17","3.6","Asda","","MK12 5JQ","England","2015-08-21","4","3007","British Chicken","2.1","Satisfactory","1226","3.04","Standard","None Stated","","NOT Modified Atmosphere","Other","Yes","25","Campylobacter spp  - enumeration cfu/g","<10","CFU/g",""
"LO","LO1519540-03","2015-08-17","3.6","Other","Wolverton Supermarket, 3 Glyn Square, Wolverton","MK12 5JQ","England","2015-08-20","3","","No Label, British Chicken, Baby","4.8","Satisfactory","814","2","Standard","Halal","","NOT Modified Atmosphere","Other","No","24","Campylobacter spp -  enumeration per Swab","<10","CFU Swab",""
"LO","LO1519540-03","2015-08-17","3.6","Other","Wolverton Supermarket, 3 Glyn Square, Wolverton","MK12 5JQ","England","2015-08-20","3","","No Label, British Chicken, Baby","4.8","Satisfactory","814","2","Standard","Halal","","NOT Modified Atmosphere","Other","No","24","Campylobacter spp  - enumeration cfu/g","60","CFU/g","C. jejuni"
"LO","LO1519540-04","2015-08-17","3.6","Other","Wolverton Supermarket, 3 Glyn Square, Wolverton","MK12 5JQ","England","2015-08-20","3","","Medium Chicken","4.6","Satisfactory","1300","3","Standard","Halal","","NOT Modified Atmosphere","Other","No","24","Campylobacter spp -  enumeration per Swab","<10","CFU Swab",""
"LO","LO1519540-04","2015-08-17","3.6","Other","Wolverton Supermarket, 3 Glyn Square, Wolverton","MK12 5JQ","England","2015-08-20","3","","Medium Chicken","4.6","Satisfactory","1300","3","Standard","Halal","","NOT Modified Atmosphere","Other","No","24","Campylobacter spp  - enumeration cfu/g","<10","CFU/g",""
"LO","LO1519540-05","2015-08-17","3.6","Aldi","","MK13 8BF","England","2015-08-22","5","8005","Free Range Whole Chicken","4.3","Satisfactory","1500","4.99","Free range","None Stated","","NOT Modified Atmosphere","Other","No","24","Campylobacter spp -  enumeration per Swab","<10","CFU Swab",""
"LO","LO1519540-05","2015-08-17","3.6","Aldi","","MK13 8BF","England","2015-08-22","5","8005","Free Range Whole Chicken","4.3","Satisfactory","1500","4.99","Free range","None Stated","","NOT Modified Atmosphere","Other","No","24","Campylobacter spp  - enumeration cfu/g","<10","CFU/g",""
"LO","LO1519540-06","2015-08-17","3.6","Aldi","","MK13 8BF","England","2015-08-24","7","5011","Small Whole Chicken","5.5","Satisfactory","1250","2.75","Standard","None Stated","","NOT Modified Atmosphere","Other","Yes","25","Campylobacter spp -  enumeration per Swab","<10","CFU Swab",""
"LO","LO1519540-06","2015-08-17","3.6","Aldi","","MK13 8BF","England","2015-08-24","7","5011","Small Whole Chicken","5.5","Satisfactory","1250","2.75","Standard","None Stated","","NOT Modified Atmosphere","Other","Yes","25","Campylobacter spp  - enumeration cfu/g","170","CFU/g","C. jejuni"
"LO","LO1519540-07","2015-08-17","3.6","Aldi","","MK13 8BF","England","2015-08-22","5","2037","Large Whole Chicken","5.6","Satisfactory","1922","4.49","Standard","None Stated","","NOT Modified Atmosphere","Other","Yes","24","Campylobacter spp -  enumeration per Swab","<10","CFU Swab",""
"LO","LO1519540-07","2015-08-17","3.6","Aldi","","MK13 8BF","England","2015-08-22","5","2037","Large Whole Chicken","5.6","Satisfactory","1922","4.49","Standard","None Stated","","NOT Modified Atmosphere","Other","Yes","24","Campylobacter spp  - enumeration cfu/g","20","CFU/g","C. jejuni"
"LO","LO1519540-08","2015-08-17","3.6","Aldi","","MK13 8BF","England","2015-08-23","6","5011","British Medium Chicken","5.7","Satisfactory","1650","3.59","Standard","None Stated","","NOT Modified Atmosphere","Roast in bag","No","15","Campylobacter spp -  enumeration per Swab","<10","CFU Swab",""
"LO","LO1519540-08","2015-08-17","3.6","Aldi","","MK13 8BF","England","2015-08-23","6","5011","British Medium Chicken","5.7","Satisfactory","1650","3.59","Standard","None Stated","","NOT Modified Atmosphere","Roast in bag","No","15","Campylobacter spp  - enumeration cfu/g","<10","CFU/g",""
"LO","LO1519540-09","2015-08-17","3.6","Morrisons","","MK9 1BL","England","2015-08-23","6","5008","Whole Chicken Baby","3.2","Satisfactory","1238","2.5","Standard","Halal","","NOT Modified Atmosphere","Other","Yes","5","Campylobacter spp -  enumeration per Swab","<10","CFU Swab",""
"LO","LO1519540-09","2015-08-17","3.6","Morrisons","","MK9 1BL","England","2015-08-23","6","5008","Whole Chicken Baby","3.2","Satisfactory","1238","2.5","Standard","Halal","","NOT Modified Atmosphere","Other","Yes","5","Campylobacter spp  - enumeration cfu/g","50","CFU/g","C. jejuni"
"LO","LO1519540-10","2015-08-17","3.6","Morrisons","","MK9 1BL","England","2015-08-21","4","4014","British Medium Chicken","2.8","Satisfactory","1499","3.5","Standard","None Stated","","NOT Modified Atmosphere","Other","Yes","13","Campylobacter spp -  enumeration per Swab","<10","CFU Swab",""
"LO","LO1519540-10","2015-08-17","3.6","Morrisons","","MK9 1BL","England","2015-08-21","4","4014","British Medium Chicken","2.8","Satisfactory","1499","3.5","Standard","None Stated","","NOT Modified Atmosphere","Other","Yes","13","Campylobacter spp  - enumeration cfu/g","10","CFU/g","Campylobacter spp."
"LO","LO1519540-11","2015-08-17","3.6","Lidl","","MK6 2YA","England","2015-08-21","4","3005","British Chicken Large","1.1","Satisfactory","1870","4.02","Standard","None Stated","","NOT Modified Atmosphere","Other","Yes","24","Campylobacter spp -  enumeration per Swab","<10","CFU Swab",""
"LO","LO1519540-11","2015-08-17","3.6","Lidl","","MK6 2YA","England","2015-08-21","4","3005","British Chicken Large","1.1","Satisfactory","1870","4.02","Standard","None Stated","","NOT Modified Atmosphere","Other","Yes","24","Campylobacter spp  - enumeration cfu/g","210","CFU/g","C. jejuni"
"LO","LO1519540-12","2015-08-17","3.6","Lidl","","MK6 2YA","England","2015-08-22","5","3005","British Chicken Medium","1","Satisfactory","1358","2.96","Standard","None Stated","","NOT Modified Atmosphere","Other","Yes","25","Campylobacter spp -  enumeration per Swab","<10","CFU Swab",""
"LO","LO1519540-12","2015-08-17","3.6","Lidl","","MK6 2YA","England","2015-08-22","5","3005","British Chicken Medium","1","Satisfactory","1358","2.96","Standard","None Stated","","NOT Modified Atmosphere","Other","Yes","25","Campylobacter spp  - enumeration cfu/g","<10","CFU/g",""
"LO","LO1519540-13","2015-08-17","3.6","Co-op","","MK6 2AD","England","2015-08-20","3","2037","British Chicken","5.4","Satisfactory","1624","5","Standard","None Stated","","NOT Modified Atmosphere","Roast in bag","No","25","Campylobacter spp -  enumeration per Swab","<10","CFU Swab",""
"LO","LO1519540-13","2015-08-17","3.6","Co-op","","MK6 2AD","England","2015-08-20","3","2037","British Chicken","5.4","Satisfactory","1624","5","Standard","None Stated","","NOT Modified Atmosphere","Roast in bag","No","25","Campylobacter spp  - enumeration cfu/g","<10","CFU/g",""
"LO","LO1519540-14","2015-08-17","3.6","Lidl","","MK2 2QG","England","2015-08-22","5","3005","Brithish Chicken Medium","2.1","Satisfactory","1369","2.98","Standard","None Stated","","NOT Modified Atmosphere","Other","Yes","17","Campylobacter spp -  enumeration per Swab","<10","CFU Swab",""
"LO","LO1519540-14","2015-08-17","3.6","Lidl","","MK2 2QG","England","2015-08-22","5","3005","Brithish Chicken Medium","2.1","Satisfactory","1369","2.98","Standard","None Stated","","NOT Modified Atmosphere","Other","Yes","17","Campylobacter spp  - enumeration cfu/g","<10","CFU/g",""
"LO","LO1519540-15","2015-08-17","3.6","Lidl","","MK2 2QG","England","2015-08-20","3","3005","British Chicken Large","1.9","Satisfactory","1698","3.65","Standard","None Stated","","Not Stated","Other","Yes","21","Campylobacter spp -  enumeration per Swab","<10","CFU Swab",""
"LO","LO1519540-15","2015-08-17","3.6","Lidl","","MK2 2QG","England","2015-08-20","3","3005","British Chicken Large","1.9","Satisfactory","1698","3.65","Standard","None Stated","","Not Stated","Other","Yes","21","Campylobacter spp  - enumeration cfu/g","48","CFU/g","C. jejuni"
"LO","LO1520121-01","2015-08-24","3.1","Co-op","","EN1 1XH","England","2015-08-30","6","5011","British Whole Chicken","3.4","Satisfactory","1660","5","Standard","None Stated","","Modified Atmosphere","Roast in bag","Yes","25","Campylobacter spp  - enumeration cfu/g","<10","CFU/g",""
"LO","LO1520121-01","2015-08-24","3.1","Co-op","","EN1 1XH","England","2015-08-30","6","5011","British Whole Chicken","3.4","Satisfactory","1660","5","Standard","None Stated","","Modified Atmosphere","Roast in bag","Yes","25","Campylobacter spp -  enumeration per Swab","<10","CFU Swab",""
"LO","LO1520121-02","2015-08-24","3.1","Sainsbury's","","EN1 1BA","England","2015-08-29","5","8005","British Corn Fed Whole Chicken","2.9","Satisfactory","1764","7.76","Standard","Corn Fed","","Modified Atmosphere","Other","No","25","Campylobacter spp -  enumeration per Swab","<10","CFU Swab",""
"LO","LO1520121-02","2015-08-24","3.1","Sainsbury's","","EN1 1BA","England","2015-08-29","5","8005","British Corn Fed Whole Chicken","2.9","Satisfactory","1764","7.76","Standard","Corn Fed","","Modified Atmosphere","Other","No","25","Campylobacter spp  - enumeration cfu/g","6150","CFU/g","C. coli"
"LO","LO1520222-01","2015-08-25","5.2","M&S","","NW4 3FE","England","2015-08-26","1","7161","Organic British Free Range Chicken","3.4","Satisfactory","2056","14.58","Organic","None Stated","","NOT Modified Atmosphere","Other","Yes","25","Campylobacter spp  - enumeration cfu/g","10","CFU/g","C. coli"
"LO","LO1520222-01","2015-08-25","5.2","M&S","","NW4 3FE","England","2015-08-26","1","7161","Organic British Free Range Chicken","3.4","Satisfactory","2056","14.58","Organic","None Stated","","NOT Modified Atmosphere","Other","Yes","25","Campylobacter spp -  enumeration per Swab","<10","CFU Swab",""
"LO","LO1520222-02","2015-08-25","5.2","M&S","","NW4 3FE","England","2015-08-28","3","5011","British Oakham Chicken Medium","3.4","Satisfactory","1500","5","Standard","None Stated","","Modified Atmosphere","Other","Yes","25","Campylobacter spp -  enumeration per Swab","<10","CFU Swab",""
"LO","LO1520222-02","2015-08-25","5.2","M&S","","NW4 3FE","England","2015-08-28","3","5011","British Oakham Chicken Medium","3.4","Satisfactory","1500","5","Standard","None Stated","","Modified Atmosphere","Other","Yes","25","Campylobacter spp  - enumeration cfu/g","38500","CFU/g","C. jejuni"
"LO","LO1520222-03","2015-08-25","5.2","Waitrose","","NW4 3FQ","England","2015-08-29","4","9502","Essential Waitrose British Chicken","4.1","Satisfactory","1200","4.39","Standard","None Stated","","Modified Atmosphere","Other","Yes","16","Campylobacter spp -  enumeration per Swab","<10","CFU Swab",""
"LO","LO1520222-03","2015-08-25","5.2","Waitrose","","NW4 3FQ","England","2015-08-29","4","9502","Essential Waitrose British Chicken","4.1","Satisfactory","1200","4.39","Standard","None Stated","","Modified Atmosphere","Other","Yes","16","Campylobacter spp  - enumeration cfu/g","970","CFU/g","C. coli"
"LO","LO1520222-04","2015-08-25","5.2","Waitrose","","NW4 3FQ","England","2015-08-28","3","9502","Golden Corn Fed Free Range Chicken","4.1","Satisfactory","1786","9.98","Free range","Corn Fed","","Modified Atmosphere","Other","Yes","25","Campylobacter spp -  enumeration per Swab","<10","CFU Swab",""
"LO","LO1520222-04","2015-08-25","5.2","Waitrose","","NW4 3FQ","England","2015-08-28","3","9502","Golden Corn Fed Free Range Chicken","4.1","Satisfactory","1786","9.98","Free range","Corn Fed","","Modified Atmosphere","Other","Yes","25","Campylobacter spp  - enumeration cfu/g","30","CFU/g","C. coli"
"LO","LO1520222-05","2015-08-25","5.2","Morrisons","","EN1 1TW","England","2015-08-27","2","4014","British Large Chicken","3.9","Satisfactory","1765","4.5","Standard","None Stated","","Not Stated","Other","Yes","25","Campylobacter spp -  enumeration per Swab","<10","CFU Swab",""
